Unnamed: 0,French,English
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
27,savais,knew
29,voici,here is
30,pourrais,could
31,affaire,case
32,type,type
33,leurs,their
34,corps,body
37,dont,whose
38,premier,first
39,perdu,lost
40,main,hand
41,côté,side
42,vieux,old
43,sois,be
45,enfant,child
46,point,point
48,suite,after
51,vers,towards
52,chambre,bedroom
53,mis,placed
54,belle,beautiful
55,droit,law
56,aimerais,would like to
58,cause,cause
59,enfin,finally
60,espère,hope
61,eau,water
62,attendez,Wait
63,nouvelle,new
64,boulot,job
65,arrêter,Stop
66,dirait,would say
67,terre,Earth
69,fin,end
70,croire,believe
71,chérie,sweetheart
73,aura,will have
74,filles,girls
75,jouer,to play
76,bureau,office
